Student_ID,Age,Gender,College_Tier,City_Type,Monthly_Allowance,Has_Part_Time_Job,Uses_Finance_App,Top_3_Money_Challenges
284,23,Non-binary,Tier 3,Urban,5000,Yes,Jupiter,"Budgeting, Saving, Loans"
285,18,F,Tier 3,Semi-urban,3000,No,Jupiter,"Lack of tools, Parental dependency, Side income"
286,19,F,Tier 3,Rural,4000,Yes,Walnut,"Budgeting, Saving, Loans"
287,18,M,Tier 1,Urban,3000,No,Cred,"Peer pressure spending, No financial knowledge, Saving"
288,18,M,Tier 2,Semi-urban,5000,No,None,"Loans, Rent sharing, No bank account"
289,24,Non-binary,Tier 2,Rural,7000,No,Walnut,"Budgeting, Saving, Loans"
290,20,F,Tier 1,Rural,4000,No,None,"Peer pressure spending, No financial knowledge, Saving"
291,18,Non-binary,Tier 3,Rural,4000,Yes,Walnut,"Loans, Rent sharing, No bank account"
292,22,F,Tier 2,Semi-urban,8000,Yes,None,"Lack of tools, Parental dependency, Side income"
293,19,Non-binary,Tier 2,Semi-urban,2000,Yes,Cred,"Lack of tools, Parental dependency, Side income"
294,20,F,Tier 2,Semi-urban,6000,Yes,Walnut,"Loans, Rent sharing, No bank account"
295,23,M,Tier 3,Rural,4000,No,Jupiter,"Lack of tools, Parental dependency, Side income"
296,21,M,Tier 1,Rural,2000,No,Cred,"Tracking expenses, Overspending, Emergency funds"
297,19,F,Tier 2,Rural,6000,No,Jupiter,"Loans, Rent sharing, No bank account"
298,22,Non-binary,Tier 1,Semi-urban,7000,No,Cred,"Tracking expenses, Overspending, Emergency funds"
299,19,M,Tier 2,Semi-urban,2000,Yes,Jupiter,"Loans, Rent sharing, No bank account"
300,23,F,Tier 1,Urban,3000,Yes,Cred,"Tracking expenses, Overspending, Emergency funds"
301,22,F,Tier 3,Rural,3000,Yes,None,"Lack of tools, Parental dependency, Side income"
302,22,Non-binary,Tier 3,Semi-urban,8000,Yes,Jupiter,"Lack of tools, Parental dependency, Side income"
303,21,F,Tier 3,Urban,6000,Yes,None,"Budgeting, Saving, Loans"
304,19,M,Tier 1,Urban,2000,Yes,Walnut,"Peer pressure spending, No financial knowledge, Saving"
305,24,M,Tier 3,Rural,5000,No,None,"Tracking expenses, Overspending, Emergency funds"
306,21,Non-binary,Tier 3,Rural,2000,No,Jupiter,"Loans, Rent sharing, No bank account"
307,24,Non-binary,Tier 2,Semi-urban,5000,No,Cred,"Lack of tools, Parental dependency, Side income"
308,21,M,Tier 1,Urban,8000,No,None,"Lack of tools, Parental dependency, Side income"
309,19,Non-binary,Tier 1,Rural,4000,Yes,Splitwise,"Loans, Rent sharing, No bank account"
310,18,M,Tier 2,Rural,8000,No,Cred,"Peer pressure spending, No financial knowledge, Saving"
311,18,F,Tier 3,Urban,8000,No,Walnut,"Loans, Rent sharing, No bank account"
312,23,Non-binary,Tier 2,Rural,4000,Yes,Walnut,"Tracking expenses, Overspending, Emergency funds"
313,21,M,Tier 3,Urban,4000,Yes,Jupiter,"Tracking expenses, Overspending, Emergency funds"
314,20,Non-binary,Tier 1,Urban,2000,No,Cred,"Budgeting, Saving, Loans"
315,21,F,Tier 3,Rural,6000,No,None,"Loans, Rent sharing, No bank account"
316,21,M,Tier 2,Urban,5000,No,None,"Lack of tools, Parental dependency, Side income"
317,21,M,Tier 3,Urban,2000,No,Walnut,"Budgeting, Saving, Loans"
318,24,M,Tier 2,Semi-urban,4000,No,Cred,"Loans, Rent sharing, No bank account"
319,23,F,Tier 3,Urban,3000,No,Cred,"Loans, Rent sharing, No bank account"
320,18,M,Tier 1,Rural,4000,No,Walnut,"Lack of tools, Parental dependency, Side income"
321,23,Non-binary,Tier 1,Urban,6000,Yes,None,"Peer pressure spending, No financial knowledge, Saving"
322,23,M,Tier 1,Urban,8000,Yes,Walnut,"Loans, Rent sharing, No bank account"
323,23,F,Tier 3,Rural,4000,Yes,Cred,"Budgeting, Saving, Loans"
324,18,Non-binary,Tier 2,Urban,7000,Yes,None,"Lack of tools, Parental dependency, Side income"
325,18,F,Tier 1,Urban,6000,Yes,Splitwise,"Tracking expenses, Overspending, Emergency funds"
326,21,Non-binary,Tier 2,Urban,3000,Yes,Walnut,"Peer pressure spending, No financial knowledge, Saving"
327,23,Non-binary,Tier 1,Rural,5000,No,Cred,"Lack of tools, Parental dependency, Side income"
328,20,F,Tier 1,Semi-urban,4000,No,Cred,"Budgeting, Saving, Loans"
329,24,F,Tier 1,Semi-urban,6000,No,Jupiter,"Loans, Rent sharing, No bank account"
330,24,F,Tier 1,Urban,5000,Yes,Jupiter,"Budgeting, Saving, Loans"
331,18,F,Tier 2,Rural,8000,No,Walnut,"Loans, Rent sharing, No bank account"
332,19,M,Tier 2,Rural,8000,No,None,"Lack of tools, Parental dependency, Side income"
333,19,F,Tier 3,Rural,3000,Yes,Splitwise,"Peer pressure spending, No financial knowledge, Saving"
334,19,Non-binary,Tier 2,Rural,7000,Yes,Splitwise,"Lack of tools, Parental dependency, Side income"
335,22,M,Tier 3,Semi-urban,6000,No,None,"Budgeting, Saving, Loans"
336,21,F,Tier 2,Rural,8000,No,Jupiter,"Budgeting, Saving, Loans"
337,19,M,Tier 2,Semi-urban,8000,Yes,Cred,"Tracking expenses, Overspending, Emergency funds"
338,21,Non-binary,Tier 1,Urban,3000,No,Jupiter,"Tracking expenses, Overspending, Emergency funds"
339,19,Non-binary,Tier 3,Urban,3000,No,Walnut,"Loans, Rent sharing, No bank account"
340,20,Non-binary,Tier 1,Rural,2000,Yes,Jupiter,"Budgeting, Saving, Loans"
341,21,M,Tier 2,Rural,5000,Yes,None,"Tracking expenses, Overspending, Emergency funds"
342,19,M,Tier 2,Semi-urban,2000,No,Walnut,"Tracking expenses, Overspending, Emergency funds"
343,24,F,Tier 1,Urban,3000,No,None,"Lack of tools, Parental dependency, Side income"
344,18,F,Tier 3,Urban,6000,Yes,Walnut,"Loans, Rent sharing, No bank account"
345,21,F,Tier 2,Rural,4000,Yes,Cred,"Peer pressure spending, No financial knowledge, Saving"
346,24,Non-binary,Tier 2,Rural,7000,No,Jupiter,"Lack of tools, Parental dependency, Side income"
347,24,F,Tier 1,Semi-urban,8000,Yes,None,"Loans, Rent sharing, No bank account"
348,24,M,Tier 2,Rural,7000,No,Walnut,"Loans, Rent sharing, No bank account"
349,22,F,Tier 2,Semi-urban,2000,Yes,Jupiter,"Lack of tools, Parental dependency, Side income"
350,18,Non-binary,Tier 2,Urban,4000,No,Splitwise,"Tracking expenses, Overspending, Emergency funds"
351,18,F,Tier 3,Rural,2000,No,None,"Tracking expenses, Overspending, Emergency funds"
352,23,Non-binary,Tier 2,Rural,8000,No,Cred,"Peer pressure spending, No financial knowledge, Saving"
353,22,Non-binary,Tier 2,Rural,7000,Yes,Walnut,"Peer pressure spending, No financial knowledge, Saving"
354,24,Non-binary,Tier 2,Semi-urban,5000,Yes,None,"Loans, Rent sharing, No bank account"
355,18,F,Tier 1,Urban,8000,Yes,None,"Peer pressure spending, No financial knowledge, Saving"
356,18,M,Tier 2,Urban,7000,Yes,Splitwise,"Lack of tools, Parental dependency, Side income"
357,24,F,Tier 3,Urban,7000,No,Cred,"Peer pressure spending, No financial knowledge, Saving"
358,24,Non-binary,Tier 2,Rural,4000,No,Splitwise,"Budgeting, Saving, Loans"
359,19,F,Tier 2,Urban,2000,Yes,Walnut,"Loans, Rent sharing, No bank account"
360,19,F,Tier 3,Urban,3000,Yes,Jupiter,"Budgeting, Saving, Loans"
361,21,F,Tier 2,Urban,6000,No,None,"Loans, Rent sharing, No bank account"
362,21,Non-binary,Tier 1,Rural,3000,No,Walnut,"Loans, Rent sharing, No bank account"
363,21,Non-binary,Tier 3,Rural,5000,Yes,Walnut,"Lack of tools, Parental dependency, Side income"
364,19,F,Tier 2,Semi-urban,5000,No,Cred,"Tracking expenses, Overspending, Emergency funds"
365,24,F,Tier 1,Semi-urban,2000,No,None,"Peer pressure spending, No financial knowledge, Saving"
366,21,F,Tier 2,Semi-urban,3000,Yes,Splitwise,"Budgeting, Saving, Loans"
367,18,M,Tier 3,Semi-urban,7000,Yes,Jupiter,"Peer pressure spending, No financial knowledge, Saving"
368,19,Non-binary,Tier 1,Urban,4000,No,None,"Loans, Rent sharing, No bank account"
369,21,M,Tier 3,Semi-urban,2000,No,None,"Budgeting, Saving, Loans"
370,18,Non-binary,Tier 2,Semi-urban,2000,Yes,Jupiter,"Budgeting, Saving, Loans"
371,21,F,Tier 2,Semi-urban,3000,Yes,Walnut,"Loans, Rent sharing, No bank account"
372,20,M,Tier 1,Rural,8000,No,Splitwise,"Peer pressure spending, No financial knowledge, Saving"
373,24,F,Tier 1,Urban,6000,No,None,"Budgeting, Saving, Loans"
374,24,M,Tier 2,Rural,5000,No,Walnut,"Peer pressure spending, No financial knowledge, Saving"
375,21,F,Tier 3,Urban,7000,Yes,Cred,"Budgeting, Saving, Loans"
376,20,Non-binary,Tier 2,Semi-urban,4000,No,Walnut,"Tracking expenses, Overspending, Emergency funds"
377,21,F,Tier 2,Rural,5000,No,Jupiter,"Lack of tools, Parental dependency, Side income"
378,23,Non-binary,Tier 2,Urban,7000,No,Splitwise,"Loans, Rent sharing, No bank account"
379,23,F,Tier 3,Rural,2000,Yes,Jupiter,"Lack of tools, Parental dependency, Side income"
380,24,F,Tier 3,Rural,6000,No,Cred,"Peer pressure spending, No financial knowledge, Saving"
381,22,Non-binary,Tier 2,Urban,2000,Yes,Walnut,"Lack of tools, Parental dependency, Side income"
382,23,Non-binary,Tier 1,Urban,6000,Yes,None,"Lack of tools, Parental dependency, Side income"
383,23,M,Tier 3,Semi-urban,3000,No,Cred,"Lack of tools, Parental dependency, Side income"
384,21,F,Tier 2,Semi-urban,7000,No,Jupiter,"Lack of tools, Parental dependency, Side income"
385,19,M,Tier 2,Semi-urban,8000,Yes,Walnut,"Loans, Rent sharing, No bank account"
386,19,M,Tier 2,Rural,5000,Yes,Jupiter,"Tracking expenses, Overspending, Emergency funds"
387,20,Non-binary,Tier 1,Semi-urban,2000,Yes,None,"Tracking expenses, Overspending, Emergency funds"
388,19,Non-binary,Tier 3,Urban,6000,No,Cred,"Lack of tools, Parental dependency, Side income"
389,18,F,Tier 2,Rural,6000,Yes,Cred,"Tracking expenses, Overspending, Emergency funds"
390,22,M,Tier 3,Urban,2000,No,Splitwise,"Tracking expenses, Overspending, Emergency funds"
391,23,F,Tier 2,Rural,5000,No,Jupiter,"Loans, Rent sharing, No bank account"
392,22,M,Tier 2,Urban,7000,No,Splitwise,"Lack of tools, Parental dependency, Side income"
393,18,Non-binary,Tier 3,Urban,3000,Yes,Cred,"Peer pressure spending, No financial knowledge, Saving"
394,23,F,Tier 1,Semi-urban,3000,Yes,Walnut,"Lack of tools, Parental dependency, Side income"
395,20,M,Tier 1,Semi-urban,4000,No,Splitwise,"Tracking expenses, Overspending, Emergency funds"
396,18,Non-binary,Tier 3,Rural,4000,No,Walnut,"Peer pressure spending, No financial knowledge, Saving"
397,18,M,Tier 3,Semi-urban,8000,No,Splitwise,"Tracking expenses, Overspending, Emergency funds"
398,22,F,Tier 2,Rural,4000,No,Jupiter,"Tracking expenses, Overspending, Emergency funds"
399,21,Non-binary,Tier 2,Urban,8000,No,Jupiter,"Budgeting, Saving, Loans"
400,22,M,Tier 3,Rural,5000,Yes,Cred,"Budgeting, Saving, Loans"
401,24,M,Tier 3,Urban,7000,Yes,Jupiter,"Budgeting, Saving, Loans"
402,22,F,Tier 3,Urban,8000,Yes,Splitwise,"Tracking expenses, Overspending, Emergency funds"
403,19,F,Tier 1,Urban,7000,Yes,Splitwise,"Lack of tools, Parental dependency, Side income"
404,18,F,Tier 1,Rural,4000,No,Walnut,"Lack of tools, Parental dependency, Side income"
405,22,Non-binary,Tier 1,Rural,4000,No,None,"Tracking expenses, Overspending, Emergency funds"
406,18,Non-binary,Tier 3,Semi-urban,5000,No,Splitwise,"Budgeting, Saving, Loans"
407,24,F,Tier 3,Semi-urban,4000,No,Walnut,"Tracking expenses, Overspending, Emergency funds"
408,19,Non-binary,Tier 2,Urban,3000,Yes,Cred,"Lack of tools, Parental dependency, Side income"
409,18,M,Tier 1,Urban,2000,Yes,Jupiter,"Lack of tools, Parental dependency, Side income"
410,22,F,Tier 1,Rural,3000,Yes,Jupiter,"Loans, Rent sharing, No bank account"
411,18,Non-binary,Tier 1,Semi-urban,3000,No,Splitwise,"Lack of tools, Parental dependency, Side income"
412,23,Non-binary,Tier 1,Rural,8000,Yes,Jupiter,"Loans, Rent sharing, No bank account"
413,24,F,Tier 3,Rural,8000,No,Cred,"Tracking expenses, Overspending, Emergency funds"
414,19,F,Tier 2,Rural,6000,Yes,None,"Lack of tools, Parental dependency, Side income"
415,21,Non-binary,Tier 2,Urban,2000,No,Splitwise,"Loans, Rent sharing, No bank account"
416,18,Non-binary,Tier 2,Urban,3000,Yes,Cred,"Lack of tools, Parental dependency, Side income"
417,22,F,Tier 3,Semi-urban,2000,Yes,Walnut,"Loans, Rent sharing, No bank account"
418,19,Non-binary,Tier 1,Urban,3000,Yes,None,"Lack of tools, Parental dependency, Side income"
419,22,M,Tier 3,Urban,5000,No,Splitwise,"Lack of tools, Parental dependency, Side income"
420,22,Non-binary,Tier 1,Rural,5000,Yes,Jupiter,"Peer pressure spending, No financial knowledge, Saving"
421,18,M,Tier 3,Urban,4000,No,Splitwise,"Tracking expenses, Overspending, Emergency funds"
422,22,M,Tier 2,Rural,5000,Yes,Walnut,"Tracking expenses, Overspending, Emergency funds"
423,18,Non-binary,Tier 2,Semi-urban,2000,No,Jupiter,"Lack of tools, Parental dependency, Side income"
424,21,Non-binary,Tier 2,Urban,6000,Yes,None,"Loans, Rent sharing, No bank account"
425,23,F,Tier 2,Semi-urban,4000,No,Splitwise,"Budgeting, Saving, Loans"
426,22,M,Tier 1,Urban,8000,Yes,Cred,"Loans, Rent sharing, No bank account"
427,22,Non-binary,Tier 3,Rural,3000,Yes,Walnut,"Lack of tools, Parental dependency, Side income"
428,22,M,Tier 1,Urban,5000,No,Splitwise,"Tracking expenses, Overspending, Emergency funds"
429,20,F,Tier 3,Rural,4000,No,Cred,"Loans, Rent sharing, No bank account"
430,20,M,Tier 2,Semi-urban,5000,Yes,Splitwise,"Peer pressure spending, No financial knowledge, Saving"
431,19,Non-binary,Tier 2,Rural,4000,No,Walnut,"Lack of tools, Parental dependency, Side income"
432,23,Non-binary,Tier 2,Rural,8000,Yes,Splitwise,"Loans, Rent sharing, No bank account"
433,23,M,Tier 3,Semi-urban,2000,Yes,Jupiter,"Loans, Rent sharing, No bank account"
434,20,F,Tier 2,Semi-urban,2000,No,Jupiter,"Peer pressure spending, No financial knowledge, Saving"
435,19,M,Tier 1,Rural,3000,No,Cred,"Budgeting, Saving, Loans"
436,20,Non-binary,Tier 1,Urban,8000,Yes,Jupiter,"Budgeting, Saving, Loans"
437,21,F,Tier 1,Rural,7000,Yes,None,"Loans, Rent sharing, No bank account"
438,19,M,Tier 3,Rural,4000,Yes,None,"Lack of tools, Parental dependency, Side income"
439,23,M,Tier 1,Urban,8000,Yes,Splitwise,"Peer pressure spending, No financial knowledge, Saving"
440,23,F,Tier 2,Rural,7000,No,None,"Budgeting, Saving, Loans"
441,20,M,Tier 3,Rural,7000,No,None,"Loans, Rent sharing, No bank account"
442,21,F,Tier 2,Semi-urban,6000,No,Walnut,"Lack of tools, Parental dependency, Side income"
443,20,F,Tier 3,Urban,2000,No,Walnut,"Budgeting, Saving, Loans"
444,24,F,Tier 1,Urban,3000,Yes,None,"Tracking expenses, Overspending, Emergency funds"
445,18,F,Tier 2,Semi-urban,8000,No,Walnut,"Loans, Rent sharing, No bank account"
446,18,M,Tier 2,Urban,8000,No,None,"Peer pressure spending, No financial knowledge, Saving"
447,21,M,Tier 3,Urban,4000,No,Cred,"Lack of tools, Parental dependency, Side income"
448,22,Non-binary,Tier 2,Semi-urban,3000,No,Walnut,"Loans, Rent sharing, No bank account"
449,22,F,Tier 1,Rural,2000,No,None,"Budgeting, Saving, Loans"
450,18,Non-binary,Tier 3,Rural,7000,Yes,None,"Loans, Rent sharing, No bank account"
451,18,Non-binary,Tier 2,Rural,3000,Yes,Splitwise,"Loans, Rent sharing, No bank account"
452,22,M,Tier 3,Semi-urban,4000,No,Cred,"Budgeting, Saving, Loans"
453,19,M,Tier 2,Semi-urban,5000,No,Cred,"Tracking expenses, Overspending, Emergency funds"
454,22,M,Tier 1,Urban,6000,No,Splitwise,"Lack of tools, Parental dependency, Side income"
455,20,M,Tier 1,Rural,2000,Yes,Splitwise,"Budgeting, Saving, Loans"
456,19,Non-binary,Tier 1,Semi-urban,7000,Yes,Splitwise,"Loans, Rent sharing, No bank account"
457,20,F,Tier 1,Semi-urban,4000,Yes,Jupiter,"Loans, Rent sharing, No bank account"
458,18,Non-binary,Tier 2,Semi-urban,4000,No,None,"Peer pressure spending, No financial knowledge, Saving"
459,19,Non-binary,Tier 1,Urban,8000,No,Jupiter,"Loans, Rent sharing, No bank account"
460,20,M,Tier 3,Semi-urban,3000,Yes,Walnut,"Budgeting, Saving, Loans"
461,20,F,Tier 2,Rural,2000,Yes,Splitwise,"Peer pressure spending, No financial knowledge, Saving"
462,19,Non-binary,Tier 1,Semi-urban,5000,No,None,"Loans, Rent sharing, No bank account"
463,21,M,Tier 3,Semi-urban,8000,Yes,None,"Budgeting, Saving, Loans"
464,24,M,Tier 2,Urban,5000,No,Walnut,"Lack of tools, Parental dependency, Side income"
465,22,F,Tier 3,Rural,6000,No,Cred,"Lack of tools, Parental dependency, Side income"
466,23,Non-binary,Tier 2,Rural,7000,No,None,"Loans, Rent sharing, No bank account"
467,20,F,Tier 3,Rural,6000,No,Cred,"Lack of tools, Parental dependency, Side income"
468,22,F,Tier 1,Semi-urban,3000,No,None,"Loans, Rent sharing, No bank account"
469,24,F,Tier 3,Urban,2000,Yes,Jupiter,"Peer pressure spending, No financial knowledge, Saving"
470,23,Non-binary,Tier 3,Rural,5000,Yes,Splitwise,"Lack of tools, Parental dependency, Side income"
471,22,M,Tier 2,Semi-urban,2000,Yes,Cred,"Peer pressure spending, No financial knowledge, Saving"
472,18,F,Tier 2,Urban,8000,No,Jupiter,"Peer pressure spending, No financial knowledge, Saving"
473,23,F,Tier 1,Rural,8000,Yes,None,"Peer pressure spending, No financial knowledge, Saving"
474,24,Non-binary,Tier 3,Urban,3000,Yes,Splitwise,"Tracking expenses, Overspending, Emergency funds"
475,22,Non-binary,Tier 3,Urban,2000,Yes,Jupiter,"Budgeting, Saving, Loans"
476,20,M,Tier 3,Semi-urban,2000,Yes,Splitwise,"Loans, Rent sharing, No bank account"
477,23,M,Tier 3,Urban,2000,No,None,"Peer pressure spending, No financial knowledge, Saving"
478,18,F,Tier 1,Semi-urban,8000,Yes,None,"Loans, Rent sharing, No bank account"
479,19,F,Tier 2,Rural,8000,No,Jupiter,"Peer pressure spending, No financial knowledge, Saving"
480,20,Non-binary,Tier 3,Rural,3000,No,None,"Budgeting, Saving, Loans"
481,18,F,Tier 1,Urban,3000,Yes,Walnut,"Lack of tools, Parental dependency, Side income"
482,18,Non-binary,Tier 1,Rural,3000,Yes,Splitwise,"Loans, Rent sharing, No bank account"
483,23,F,Tier 1,Semi-urban,8000,No,None,"Tracking expenses, Overspending, Emergency funds"
484,22,Non-binary,Tier 1,Semi-urban,5000,Yes,None,"Loans, Rent sharing, No bank account"
485,19,F,Tier 1,Semi-urban,4000,Yes,Walnut,"Budgeting, Saving, Loans"
486,20,F,Tier 2,Urban,7000,No,Splitwise,"Peer pressure spending, No financial knowledge, Saving"
487,20,F,Tier 1,Urban,7000,No,Cred,"Loans, Rent sharing, No bank account"
488,22,M,Tier 2,Urban,7000,Yes,Walnut,"Budgeting, Saving, Loans"
489,19,F,Tier 3,Semi-urban,2000,Yes,Walnut,"Peer pressure spending, No financial knowledge, Saving"
490,23,F,Tier 3,Semi-urban,6000,No,Splitwise,"Lack of tools, Parental dependency, Side income"
491,20,M,Tier 2,Semi-urban,6000,Yes,Walnut,"Budgeting, Saving, Loans"
492,19,M,Tier 2,Semi-urban,4000,No,Splitwise,"Tracking expenses, Overspending, Emergency funds"
493,23,F,Tier 3,Urban,8000,Yes,Walnut,"Loans, Rent sharing, No bank account"
494,23,Non-binary,Tier 1,Urban,2000,No,Splitwise,"Budgeting, Saving, Loans"
495,24,F,Tier 3,Urban,2000,No,Splitwise,"Peer pressure spending, No financial knowledge, Saving"
496,20,Non-binary,Tier 1,Urban,2000,No,Cred,"Peer pressure spending, No financial knowledge, Saving"
497,22,F,Tier 1,Semi-urban,3000,No,None,"Tracking expenses, Overspending, Emergency funds"
498,21,Non-binary,Tier 2,Semi-urban,7000,Yes,Splitwise,"Loans, Rent sharing, No bank account"
499,20,F,Tier 2,Rural,5000,Yes,Jupiter,"Peer pressure spending, No financial knowledge, Saving"
500,24,M,Tier 3,Rural,8000,No,Cred,"Peer pressure spending, No financial knowledge, Saving"
501,18,Non-binary,Tier 3,Rural,3000,Yes,Cred,"Peer pressure spending, No financial knowledge, Saving"
502,18,F,Tier 2,Semi-urban,2000,No,None,"Budgeting, Saving, Loans"
503,23,F,Tier 3,Urban,8000,Yes,Walnut,"Budgeting, Saving, Loans"
504,21,M,Tier 2,Urban,8000,No,Walnut,"Loans, Rent sharing, No bank account"
505,24,Non-binary,Tier 2,Urban,8000,Yes,Splitwise,"Tracking expenses, Overspending, Emergency funds"
506,20,Non-binary,Tier 3,Semi-urban,4000,Yes,Cred,"Loans, Rent sharing, No bank account"
507,18,Non-binary,Tier 1,Rural,2000,No,Splitwise,"Tracking expenses, Overspending, Emergency funds"
508,18,M,Tier 1,Urban,2000,No,Jupiter,"Lack of tools, Parental dependency, Side income"
509,20,Non-binary,Tier 2,Rural,5000,Yes,Walnut,"Peer pressure spending, No financial knowledge, Saving"
510,24,Non-binary,Tier 3,Rural,2000,Yes,Splitwise,"Tracking expenses, Overspending, Emergency funds"
511,19,F,Tier 1,Semi-urban,3000,Yes,Splitwise,"Peer pressure spending, No financial knowledge, Saving"
512,23,F,Tier 2,Semi-urban,6000,Yes,Cred,"Tracking expenses, Overspending, Emergency funds"
513,20,M,Tier 2,Urban,5000,Yes,Jupiter,"Lack of tools, Parental dependency, Side income"
514,19,Non-binary,Tier 3,Semi-urban,8000,No,Jupiter,"Tracking expenses, Overspending, Emergency funds"
515,23,F,Tier 3,Semi-urban,7000,Yes,Splitwise,"Loans, Rent sharing, No bank account"
516,21,M,Tier 2,Semi-urban,5000,No,Jupiter,"Budgeting, Saving, Loans"
517,22,Non-binary,Tier 1,Urban,5000,No,Jupiter,"Peer pressure spending, No financial knowledge, Saving"
518,23,M,Tier 3,Rural,2000,No,Cred,"Budgeting, Saving, Loans"
519,21,Non-binary,Tier 3,Rural,5000,Yes,Cred,"Tracking expenses, Overspending, Emergency funds"
520,22,F,Tier 3,Urban,7000,Yes,Jupiter,"Loans, Rent sharing, No bank account"
521,18,Non-binary,Tier 1,Rural,5000,No,Splitwise,"Tracking expenses, Overspending, Emergency funds"
522,18,Non-binary,Tier 1,Rural,3000,Yes,Walnut,"Lack of tools, Parental dependency, Side income"
523,18,Non-binary,Tier 2,Urban,4000,No,Splitwise,"Lack of tools, Parental dependency, Side income"
524,23,Non-binary,Tier 3,Rural,3000,No,Splitwise,"Lack of tools, Parental dependency, Side income"
525,19,M,Tier 1,Semi-urban,3000,Yes,Walnut,"Tracking expenses, Overspending, Emergency funds"
526,22,Non-binary,Tier 1,Urban,4000,Yes,Cred,"Lack of tools, Parental dependency, Side income"
527,18,M,Tier 3,Urban,4000,Yes,Splitwise,"Tracking expenses, Overspending, Emergency funds"
528,24,Non-binary,Tier 1,Semi-urban,5000,No,Jupiter,"Tracking expenses, Overspending, Emergency funds"
529,20,Non-binary,Tier 2,Semi-urban,3000,Yes,Jupiter,"Loans, Rent sharing, No bank account"
530,22,M,Tier 1,Semi-urban,2000,No,Cred,"Peer pressure spending, No financial knowledge, Saving"
531,22,F,Tier 1,Semi-urban,6000,No,Cred,"Budgeting, Saving, Loans"
532,19,F,Tier 2,Urban,6000,No,Cred,"Peer pressure spending, No financial knowledge, Saving"
533,21,M,Tier 3,Urban,6000,Yes,None,"Budgeting, Saving, Loans"
534,19,Non-binary,Tier 1,Urban,3000,No,None,"Budgeting, Saving, Loans"
535,18,F,Tier 2,Semi-urban,7000,Yes,Jupiter,"Tracking expenses, Overspending, Emergency funds"
536,20,Non-binary,Tier 3,Semi-urban,4000,Yes,Splitwise,"Lack of tools, Parental dependency, Side income"
537,20,M,Tier 2,Semi-urban,5000,Yes,None,"Lack of tools, Parental dependency, Side income"
538,24,M,Tier 1,Semi-urban,5000,Yes,Splitwise,"Lack of tools, Parental dependency, Side income"
539,24,F,Tier 2,Semi-urban,6000,No,Walnut,"Peer pressure spending, No financial knowledge, Saving"
540,18,F,Tier 1,Urban,5000,No,Jupiter,"Lack of tools, Parental dependency, Side income"
541,20,Non-binary,Tier 3,Semi-urban,2000,Yes,None,"Loans, Rent sharing, No bank account"
542,19,F,Tier 3,Semi-urban,2000,No,Jupiter,"Tracking expenses, Overspending, Emergency funds"
543,23,M,Tier 2,Urban,4000,Yes,Walnut,"Lack of tools, Parental dependency, Side income"
544,19,M,Tier 1,Rural,5000,Yes,Walnut,"Lack of tools, Parental dependency, Side income"
545,23,M,Tier 3,Rural,3000,No,Jupiter,"Lack of tools, Parental dependency, Side income"
546,18,Non-binary,Tier 2,Semi-urban,5000,No,None,"Peer pressure spending, No financial knowledge, Saving"
547,20,F,Tier 3,Rural,3000,No,Jupiter,"Tracking expenses, Overspending, Emergency funds"
548,24,Non-binary,Tier 3,Rural,7000,No,Splitwise,"Loans, Rent sharing, No bank account"
549,22,Non-binary,Tier 1,Urban,8000,Yes,Splitwise,"Lack of tools, Parental dependency, Side income"
550,24,F,Tier 3,Semi-urban,6000,No,Splitwise,"Budgeting, Saving, Loans"
551,21,M,Tier 3,Urban,3000,Yes,Splitwise,"Peer pressure spending, No financial knowledge, Saving"
552,22,F,Tier 1,Urban,7000,Yes,Splitwise,"Lack of tools, Parental dependency, Side income"
553,23,F,Tier 3,Semi-urban,8000,No,Walnut,"Lack of tools, Parental dependency, Side income"
554,19,F,Tier 3,Urban,6000,No,None,"Peer pressure spending, No financial knowledge, Saving"
555,19,Non-binary,Tier 1,Semi-urban,8000,Yes,None,"Loans, Rent sharing, No bank account"
556,24,F,Tier 1,Semi-urban,2000,Yes,Cred,"Budgeting, Saving, Loans"
557,19,M,Tier 3,Rural,5000,Yes,Jupiter,"Budgeting, Saving, Loans"
558,24,F,Tier 3,Semi-urban,8000,No,Walnut,"Loans, Rent sharing, No bank account"
559,24,M,Tier 3,Semi-urban,7000,No,Walnut,"Peer pressure spending, No financial knowledge, Saving"
560,19,M,Tier 3,Semi-urban,4000,Yes,Jupiter,"Lack of tools, Parental dependency, Side income"
561,21,M,Tier 2,Semi-urban,5000,No,Jupiter,"Loans, Rent sharing, No bank account"
562,18,Non-binary,Tier 3,Semi-urban,6000,No,Splitwise,"Peer pressure spending, No financial knowledge, Saving"
563,19,Non-binary,Tier 1,Rural,8000,No,Walnut,"Peer pressure spending, No financial knowledge, Saving"
564,23,Non-binary,Tier 1,Rural,5000,Yes,Walnut,"Peer pressure spending, No financial knowledge, Saving"
565,20,F,Tier 1,Urban,4000,No,Jupiter,"Peer pressure spending, No financial knowledge, Saving"
566,24,Non-binary,Tier 1,Semi-urban,6000,No,Jupiter,"Budgeting, Saving, Loans"
567,21,F,Tier 3,Semi-urban,6000,No,None,"Peer pressure spending, No financial knowledge, Saving"
568,24,M,Tier 3,Rural,4000,Yes,Splitwise,"Loans, Rent sharing, No bank account"
569,23,F,Tier 2,Rural,5000,No,Cred,"Lack of tools, Parental dependency, Side income"
